Word,Count
sweet,1.00
call,1.00
nothing?,1.00
bade,1.00
slain!,1.00
Nay,1.00
ears?,1.00
outrage!,1.00
sir:,1.00
Now,1.00
been,2.00
wouldst,1.00
Citizen,2.00
true:,1.00
begins,1.00
cracking,1.00
Benvolio,2.00
fair,1.00
any,2.00
attend,1.00
Romeo,1.00
make,6.00
friend,1.00
need.,1.00
me,12.00
o',3.00
die.,1.00
fatal,2.00
dexterity,1.00
are,2.00
lain,1.00
TRUE,1.00
MERCUTIO,18.00
live.,1.00
Mercutio.,1.00
our,2.00
come,1.00
Romeo,7.00
Alla,1.00
thee,2.00
pardoning,1.00
peace,1.00
quarrelling:,1.00
them,3.00
falls,1.00
eyes:,1.00
concludes,1.00
Tybalt,9.00
heel,1.00
fellows,1.00
again.,1.00
withdraw,1.00
devise,1.00
martial,1.00
brother's,1.00
false;,1.00
shame,1.00
gaze;,1.00
day,1.00
kill,2.00
sense,1.00
bandying,1.00
come,1.00
satisfied.,1.00
tilts,1.00
new,2.00
We,1.00
my,16.00
pray,1.00
rest,1.00
Wives,1.00
didst,2.00
death,1.00
now,1.00
LADY,2.00
body,1.00
to-morrow,1.00
fine,1.00
fellow?,1.00
stirring.,1.00
steel!,1.00
need,1.00
death,1.00
clouds,1.00
As,1.00
tavern,1.00
Tybalt,6.00
point,1.00
walk?,1.00
close,1.00
law,1.00
man,1.00
couple,1.00
Well,1.00
revenge,1.00
him,1.00
wretched,1.00
found,1.00
asleep,1.00
near,1.00
table,1.00
cousin!,3.00
blood,6.00
hate's,1.00
this,9.00
What,1.00
ROMEO's,1.00
slay;,1.00
Thou,1.00
tutor,1.00
upon,1.00
Is,2.00
faint.,1.00
here,6.00
hair,2.00
some,3.00
coughing,1.00
devil,1.00
us,1.00
MONTAGUE,1.00
last.,1.00
dog,1.00
without,1.00
scratch,1.00
respective,1.00
go,4.00
Courage,1.00
quarter.,1.00
too,1.00
MONTAGUE,1.00
sun:,1.00
hurt?,1.00
none:,1.00
tongue,1.00
Mercutio,1.00
second,1.00
peace,1.00
CAPULET,1.00
into,1.00
Draw,1.00
there,2.00
lightning,2.00
scape,1.00
proceeding,1.00
cat,1.00
How,1.00
lest,1.00
wilt,3.00
fault,1.00
them,1.00
aspired,1.00
agile,1.00
Cold,1.00
high,1.00
draw.,1.00
murderer,1.00
rude,1.00
man.',1.00
hour,3.00
vile,2.00
They,3.00
Servants,1.00
Re-enter,2.00
never,1.00
BENVOLIO,1.00
thee,5.00
one,8.00
world.,1.00
man.,2.00
kinsman!,2.00
word,3.00
love:,1.00
Am,1.00
came,1.00
fury,1.00
His,2.00
What,1.00
so,1.00
Go,1.00
afford,1.00
from,2.00
other,2.00
him.,1.00
interest,1.00
well,1.00
earth.,1.00
TYBALT,13.00
breath,13.00
page?,1.00
gavest,1.00
Men's,1.00
ere,2.00
buy,1.00
between,1.00
ay,1.00
will,6.00
minstrels?,1.00
spoke,1.00
CAPULET,2.00
,14.00
very,1.00
deaf,2.00
effeminate,1.00
what,1.00
braggart,1.00
Romeo,7.00
thee!',1.00
spilt,1.00
haunt,1.00
Ay,1.00
to?,1.00
consort'st,1.00
under,2.00
beard,2.00
now,2.00
fire-eyed,1.00
have,6.00
lie,1.00
we,4.00
This,5.00
fetch,1.00
rogue,1.00
who,1.00
Zounds,2.00
out.,1.00
With,3.00
scratch,3.00
late,1.00
stain'd,1.00
&,1.00
out,4.00
worship,1.00
prayers,1.00
little,1.00
amazed:,1.00
Here,1.00
Mercy,1.00
I'll,2.00
aside,2.00
he?,1.00
addle,1.00
Mercutio,5.00
offence,1.00
Who,3.00
love,2.00
when,3.00
quarrel,4.00
draw,1.00
First,2.00
point,2.00
as,16.00
Enter,5.00
whose,2.00
nuts,2.00
repent,1.00
boy,1.00
tender,1.00
better,2.00
friends!,1.00
Benvolio,1.00
Montague.,1.00
brave,2.00
brawl:,1.00
cries,1.00
stoccata,1.00
fee-simple!,1.00
fight,1.00
is,10.00
why,10.00
charge,1.00
beauty,1.00
us.,1.00
am,6.00
Mercutio's,4.00
fate,1.00
Stand,1.00
fled;,1.00
shall,10.00
